Nom Ticket	date	heure	entreprise	adresse	Ville	code postal	telephone	siren	produits : quantité, prix unitaire, somme prix	nombre articles	total	paiement intermediaire : montant, moyen paiement, monnaie rendue	montant paye
238	2016-09-20	19:14:59	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'CHAIR_A_SAUCISSE_R238': (1, 1.99, 1.99), 'TUBE_70G_HARISSA__R238': (2, 0.49, 0.98), 'YAOURT_AROM.VANILL_R238': (1, 1.89, 1.89)}	4	4.86	{'paiementintermediaire201': (20.0, 'ESPECES', 15.14)}	4.86
241	2017-01-20	18:57:36	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'1KG_RIZ_BASMATI_R241': (1, 1.6, 1.6), '2X1/4_THON_ALB.CRF_R241': (1, 2.97, 2.97), '400G__BICA.ALI_B.V_R241': (1, 2.01, 2.01), '4X100G__YOPA_0_LIT_R241': (1, 1.95, 1.95), '750G__0_MG_REGILAI_R241': (1, 4.47, 4.47), 'AMANDE_EMONDE_300G__R241': (1, 3.9, 3.9), 'BANANES_R241': (1, 2.01, 2.01), 'CHUTE.SAUM.FUM.**_R241': (1, 2.12, 2.12), 'FR.FRAIS_0MG_CRF_R241': (1, 1.51, 1.51), 'KG_CUISSE_PLT_BLC_R241': (1, 1.64, 1.64), 'KG_ESCALOP_DDE_HAL_R241': (1, 3.22, 3.22), 'LEGUME_DU_SUD_1L_R241': (1, 2.15, 2.15), 'ORANGE_FEUILLE_R241': (1, 1.52, 1.52), 'PASTIN_MULTICEREAL_R241': (1, 1.9, 1.9), 'PDT_CONSO_VP_R241': (1, 2.19, 2.19), 'PIZZA_4SAIS0NS_CRF_R241': (1, 2.43, 2.43), 'PJ_MULTIFR.CRF_R241': (1, 1.86, 1.86), 'POMME_GALA_MOYENNE_R241': (1, 1.08, 1.08), 'PUR_JUS_ORANGE_CRF_R241': (1, 1.47, 1.47), 'YAOURT_VANILLE_B.M_R241': (1, 1.59, 1.59)}	20	43.59	{'paiementintermediaire204': (43.59, 'CARTE BANCAIRE EMV EUR', None)}	43.59
242	2017-01-02	12:22:14	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'12_OEUFS_PPA_MOYEN_R242': (1, 2.45, 2.45), '250G_MIEL_ORANGER_R242': (1, 2.65, 2.65), '2X1/4_THON_ALB.CRF_R242': (1, 2.97, 2.97), '300G_LT_ECR.REGILA_R242': (1, 1.94, 1.94), '4X100G__YOPA_0_LIT_R242': (1, 1.42, 1.42), '4X100G_YOPA_0_LIT_R242': (1, 1.42, 1.42), '550G__MAXI_JAC_COMP_R242': (1, 1.14, 1.14), 'CLEMENTINE_MOYENNE_R242': (1, 2.17, 2.17), 'DESS.FR.POMM/BANAN_R242': (1, 1.22, 1.22), 'FLT_500G_ECHALOTE_R242': (1, 1.49, 1.49), 'FR.FRAIS_0MG_CRF_R242': (1, 1.51, 1.51), 'KG_CUISSE_PLT_BLC_R242': (1, 2.55, 2.55), 'KG_ESCALOP_DDE_HAL_R242': (1, 3.71, 3.71), 'LEGUME_DU_SUD_1L_R242': (1, 2.15, 2.15), 'LENTILLES_CRF_R242': (1, 0.45, 0.45), 'LITCHI_VRAC_R242': (1, 0.89, 0.89), 'ORANGE_FEUILLE_R242': (1, 2.02, 2.02), 'PASTIN_MULTICEREAL_R242': (1, 1.9, 1.9), 'TOMATE_CERISE_IMP_R242': (1, 0.99, 0.99), '6RLX_PAP.HYG.2PL.0_R242': (1, 1.78, 1.78)}	23	40.42	{'paiementintermediaire205': (40.42, 'CARTE BANCAIRE EMV EUR', None)}	40.42
243	2016-12-03	11:55:30	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'250G__CAR0TTES_RAPE_R243': (1, 1.65, 1.65), '300G__LT_ECR.RE6ILA_R243': (1, 1.94, 1.94), '4X100G__Y0PA_0_LIT_R243': (1, 1.95, 1.95), '550G__MAXI_SSA_JAC_R243': (1, 1.59, 1.59), '6_OEUFS_PLEIN_AIR_R243': (1, 1.55, 1.55), 'BI0_CITRON_4F_CEE_R243': (1, 1.5, 1.5), 'CHAMPIG0N_EMINCE_R243': (1, 0.92, 0.92), 'CLEMENTINE_MOYENNE_R243': (1, 1.71, 1.71), 'DESS.FR.POMM/BANAN_R243': (1, 1.22, 1.22), 'EMMENTAL_FRANCAIS_R243': (1, 3.42, 3.42), 'FR.FRAIS_0MG_CRF_R243': (1, 1.51, 1.51), 'KG_CUISSE_PLT_BLC_R243': (1, 2.38, 2.38), 'KG_ESCALOP_DDE_MAL_R243': (1, 3.71, 3.71), 'LEGUME_DU_SUD_1L_R243': (1, 2.15, 2.15), 'LENTILLES_CRF_R243': (1, 0.91, 0.91), 'ORANGE_DESS.GR0S_R243': (1, 2.11, 2.11), 'PASTIN_MULTICEREAL_R243': (1, 1.9, 1.9), 'PJ_MULTIFR.CRF_R243': (1, 1.86, 1.86), 'STEAK_HACHE_2X125G__R243': (1, 3.0, 3.0), 'T0MATE_CERISE_IMP_R243': (1, 0.99, 0.99), 'AXE_DEO_150_PEACE_R243': (1, 3.65, 3.65)}	22	42.49	{'paiementintermediaire206': (42.49, 'CARTE BANCAIRE EMV EUR', None)}	42.49
244	2017-02-03	18:57:52	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'100G__PAVE_P0IVR.6T_R244': (1, 1.79, 1.79), 'BRESAOLA_10TR_CRF_R244': (1, 3.14, 3.14), 'C0PPA_CRF_100G__R244': (1, 2.03, 2.03), 'FILET_MI6N0N_FUME_R244': (1, 2.07, 2.07), 'JB_SERRAN0_10T.FIN_R244': (1, 3.21, 3.21)}	5	12.24	{'paiementintermediaire207': (12.24, 'CARTE BANCAIRE EMV EUR', None)}	12.24
245	2017-01-02	18:15:20	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'200G_CHIPS_NAT_CRF_R245': (1, 0.99, 0.99), '450G_CALIN_3.2_MG_R245': (1, 1.13, 1.13), 'CABEC0U_AU_LARDON_R245': (1, 1.17, 1.17), 'TAILLEFINE_FRT_RGE_R245': (1, 1.87, 1.87), '3X240_ALLUMETTES_R245': (1, 0.83, 0.83), 'SACS_24+SYNTH_R245': (1, 7.5, 7.5)}	14	32.84	{'paiementintermediaire208': (32.84, 'CARTE BANCAIRE EMV EUR', None)}	32.84
246	2017-02-02	19:12:05	Carrefour__market_	Rue_Nicolas_Gargot_17440_Aytre.	Aytre.	17440	125603575		{'BATAVIA_PIECE_R246': (1, 1.49, 1.49), 'KERISAC_CIDRE_BRUT_R246': (1, 2.45, 2.45), 'SAUMON_ATLANTIQUE_R246': (1, 4.84, 4.84)}	3	8.78	{'paiementintermediaire209': (10.0, 'ESPECES', 1.22)}	8.78
25	2017-01-16	19:18:55	city_CRF-CITY_LA_ROCHELLE	33_RUE_DE_LA_SCIERIE_17000_LA_ROCHELLE	LA_ROCHELLE	17000	05.46.27.02.12		{'75_MONBAZILLAC_ML_R25': (1, 17.14, 17.14), 'D.PIZZA_4_FORMAGGI_R25': (1, 4.9, 4.9), 'PIZZ.CHEV.CRF_440G_R25': (1, 2.98, 2.98), 'PIZZA_4SAIS0NS_CRF_R25': (1, 2.72, 2.72)}	3	27.72	{'paiementintermediaire213': (27.72, 'CARTE BANCAIRE EMV EUR', None)}	27.72
247	2016-12-16	19:05:07	Carrefour__market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	546457320		{'6_OEUFS_PLEIN_AIR_R247': (1, 1.55, 1.55), 'PAIN_AUX_CEREALES_R247': (1, 0.83, 0.83), 'PUR_JUS_ORANGE_CRF_R247': (1, 1.47, 1.47)}	3	3.85	{'paiementintermediaire210': (20.0, 'ESPECES', 16.15)}	3.85
248	2016-12-18	12:17:39	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'80G_CROC_NOIR_80_R248': (1, 0.96, 0.96), 'CH0C0_NR_60_MADAG_R248': (1, 0.96, 0.96), 'LT2X250G_MLU_CLASS__R248': (3, 5.85, 17.55), 'LT3X100G.EXT_SUP.N_R248': (1, 2.69, 2.69), 'MACARON_FRAMBOISE_R248': (1, 1.6, 1.6), 'BUGGY_RC_1/18_E_R248': (1, 10.0, 10.0)}	8	27.49	{'paiementintermediaire211': (30.09, 'ESPECES', 2.6)}	27.49
249	2017-01-14	12:36:16	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'12_OEUFS_MOY.CRF_R249': (1, 2.83, 2.83), '2X1/4_THON_ALB.CRF_R249': (1, 2.97, 2.97), '4X120G__PANIER_EXTR_R249': (1, 2.25, 2.25), 'CHUTE.SAUM.FUM.**_R249': (1, 2.12, 2.12), 'CLEM.FEUIL.CORSE_R249': (1, 1.1, 1.1), 'DESS.FR.POMM/BANAN_R249': (1, 1.22, 1.22), 'EMMENTAL_FRANCAIS_R249': (1, 3.42, 3.42), 'FR.FRAIS_0MG_CRF_R249': (1, 1.51, 1.51), 'KG_ESCALOP_DDE_HAL_R249': (1, 1.96, 1.96), 'KG_POULET_HALAL_BL_R249': (1, 2.54, 2.54), 'LEGUME_DU_SUD_1L_R249': (1, 2.15, 2.15), 'ORANGE_DESS.GROS_R249': (1, 2.03, 2.03), 'PIZZA_4SAIS0NS_CRF_R249': (1, 2.43, 2.43), 'PUR_JUS_RAISIN_IL_R249': (1, 1.15, 1.15), 'DEBOUCHEUR_GEL_R249': (1, 1.6, 1.6), 'ESSUIE_TOUT_X2_RLX_R249': (1, 1.85, 1.85), 'SOCQUETTES_R249': (1, 7.95, 7.95)}	18	40.45	{'paiementintermediaire212': (40.45, 'CARTE BANCAIRE EMV EUR', None)}	40.45
250	2017-01-25	17:00:59	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'100G_CREVETTES_JUM_R250': (1, 1.9, 1.9), '300G_CEREAL_FAC_DU_R250': (1, 2.88, 2.88), '4X125G_LA_LTR_LT_E_R250': (1, 1.29, 1.29), '5ST_LEVURE_CHIMIQU_R250': (1, 0.54, 0.54), '8_PORTIONS_KIRI_R250': (1, 1.42, 1.42), '93G_THON_NATUREL_R250': (1, 1.43, 1.43), 'FL_500G_CITRON_PP_R250': (1, 1.19, 1.19), 'PETITE_CAROTTE_ST_R250': (1, 0.99, 0.99), 'POIRE_BQ_3FRT_0.99_R250': (1, 0.99, 0.99), 'PTIT_POT_CR._CHOCO_R250': (1, 1.69, 1.69), 'ST_1KG_POM_BICOLOR_R250': (1, 0.99, 0.99), 'TROPICANA_ORANGE_R250': (1, 1.76, 1.76), 'SACS_POUB_30LX40_R250': (1, 0.9, 0.9)}	14	18.71	{'paiementintermediaire214': (20.0, 'ESPECES', 1.29)}	18.71
252	2017-01-27	19:42:28	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'12_OEUFS_MOY.CRF_R252': (1, 2.83, 2.83), '2X1/4_THON_ALB.CRF_R252': (1, 2.97, 2.97), '4X100G_Y0PA_0_LIT_R252': (1, 1.95, 1.95), 'CHAMPIG0N_EMINCE_R252': (1, 0.92, 0.92), 'CHUTE.SAUM.FUM.**_R252': (1, 2.12, 2.12), 'DESS.FR.P0MM/BANAN_R252': (1, 1.22, 1.22), 'EMMENTAL_PLAQUETTE_R252': (1, 3.52, 3.52), 'FL_500G_CITRON_PP_R252': (1, 1.19, 1.19), 'FLAN_X2_R252': (1, 1.08, 1.08), 'FR.FRAIS_0MG_CRF_R252': (1, 1.51, 1.51), 'JUS_DE_RAISIN_1L_R252': (1, 1.76, 1.76), 'KG_ESCALOP_DDE_HAL_R252': (1, 4.21, 4.21), 'LEGUME_DU_SUD_1L_R252': (1, 2.15, 2.15), 'LENTILLES_CRF_R252': (1, 0.91, 0.91), 'MIEL_MONTAGNE_CRF_R252': (1, 4.95, 4.95), '0RANGE_DESS.GROS_R252': (1, 2.66, 2.66), 'PIZZA_4SAIS0NS_CRF_R252': (1, 2.43, 2.43), 'T0MATE_CERISE_IMP_R252': (1, 0.99, 0.99), 'SP_TRAD_50LX20_R252': (1, 1.15, 1.15), 'BGIE_CYL_68H150_RG_R252': (1, 2.66, 2.66)}	21	42.63	{'paiementintermediaire215': (42.63, 'CARTE BANCAIRE EMV EUR', None)}	42.63
253	2016-11-26	10:31:27	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'11G_CORIANDRE_FLOR_R253': (1, 1.6, 1.6), '150_PBT_CHOC_NR_PO_R253': (1, 1.12, 1.12), '1L_HLE_OLIVE_VE_CR_R253': (1, 5.25, 5.25), '2X1/4_THON_ALB.CRF_R253': (1, 2.97, 2.97), '375G__MIEL_EUCALYPT_R253': (1, 4.14, 4.14), '4X250ML_BDEJ_BISC/_R253': (1, 3.15, 3.15), '750G__CASSON.PERUCH__R253': (2, 1.78, 3.56), 'AMANDE_EMONDE_300G__R253': (1, 3.9, 3.9), 'ANDROS_POMME/POIRE_R253': (1, 1.34, 1.34), 'BANANES_R253': (1, 1.19, 1.19), 'BLEDIDEJ_CROISSANC_R253': (1, 3.15, 3.15), 'BOURSIN_GOURMAND_R253': (1, 2.33, 2.33), 'CHAMPIGON_EMINCE_R253': (1, 0.92, 0.92), 'FR.FRAIS_OMG_CRF_R253': (1, 1.51, 1.51), 'KG_ESCALOP_DDE_HAL_R253': (1, 3.2, 3.2), 'KG_FLT_PLT_JNE_HAL_R253': (1, 3.94, 3.94), 'LEGUME_DU_SUD_1L_R253': (1, 2.15, 2.15), 'ORANGE_DESS.GROS_R253': (1, 1.68, 1.68), 'PASTIN_MULTICEREAL_R253': (1, 1.9, 1.9), 'PIZZA_4SAIS0NS_CRF_R253': (1, 2.43, 2.43), 'POMME_RHUBARBE_X4_R253': (1, 1.34, 1.34), 'PUR_JUS_RAISIN_1L_R253': (1, 1.15, 1.15), 'SPAGHETTI_CUISSON_R253': (1, 0.84, 0.84), 'YOPA_LIT_CERISE_R253': (1, 1.42, 1.42), 'NIVEA_MAR_P.SENSIB_R253': (1, 2.78, 2.78)}	27	60.38	{'paiementintermediaire216': (54.39, 'CARTE BANCAIRE EMV EUR', None)}	54.39
254	2017-01-21	12:30:00	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'110G_MELANGE_EXOT._R254': (1, 1.08, 1.08), 'CHAUSSON_POMME_X2_R254': (1, 1.7, 1.7), 'CRISTALINE_1.5L_R254': (1, 0.18, 0.18), 'LE_SUEDOI.JB/CHEVR_R254': (1, 2.2, 2.2), 'SALADE_VENEZ?_R254': (1, 4.82, 4.82), 'BANDE_MERCUR._R254': (1, 4.1, 4.1)}	6	14.08	{'paiementintermediaire217': (14.08, 'CARTE BANCAIRE EMV EUR', None)}	14.08
255	2017-01-07	12:49:20	Carrefour__market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	546457320		{'11G_CORIANDRE_FLOR_R255': (1, 1.6, 1.6), '2X1/4_THON_ALB.CRF_R255': (1, 2.97, 2.97), '3X1/4_CHAMP.EMINCE_R255': (1, 1.99, 1.99), '4X120G__PANIER_EXTR_R255': (1, 1.69, 1.69), '6_OEUFS_PLEIN_AIR_R255': (1, 1.55, 1.55), 'CHUTE.SAUM.FUM.**_R255': (1, 2.12, 2.12), 'FUSILLI_CPLTE_500G__R255': (1, 0.98, 0.98), 'KG_POULET_HALAL_BL_R255': (1, 4.31, 4.31), 'LEGUME_DU_SUD_1L_R255': (1, 2.15, 2.15), 'ORANGE_DESS.GROS_R255': (1, 2.13, 2.13), 'PDT_CONSO_VP_R255': (1, 1.79, 1.79), 'PET_1L_P_J_CLEMENTI_R255': (1, 1.92, 1.92), 'PET1L_PJ_TONUS_CRF_R255': (1, 1.97, 1.97), 'PIZZA_4SAIS0NS_CRF_R255': (1, 2.43, 2.43), 'POMME_GALA_MOYENNE_R255': (1, 1.78, 1.78), 'AXE_DEO_BLACK_R255': (1, 3.05, 3.05)}	16	34.43	{'paiementintermediaire218': (34.43, 'CARTE BANCAIRE EMV EUR', None)}	34.43
256	2017-01-22	11:25:05	Carrefour_market	Rue_Nicolas_Gargot_17440_Aytré.	Aytré.	17440	101018962		{'250G_CAMEMBERT_CRF_R256': (1, 1.33, 1.33), '500G__OIGN.ROSC.RDF_R256': (1, 1.99, 1.99), 'BAGUETTE_SS_GLUTEN_R256': (1, 2.88, 2.88), 'EMMENTAL_RAPE_CRF_R256': (1, 1.56, 1.56), 'GALLIAGEST_2EM_AGE_R256': (1, 14.85, 14.85), 'GRS_LARDONS_CHARC._R256': (1, 2.03, 2.03)}	6	24.64	{'paiementintermediaire219': (24.64, 'CARTE BANCAIRE EMV EUR', None)}	24.64
